City|State|Zipcode|Latitude|Longitude
Aberdeen|WA|98520|47.0977|-123.7788
Aberdeen|WA|98535|47.0865|-124.1135
Aberdeen|WA|98536|47.1531|-124.0989
Aberdeen|WA|98537|46.8571|-123.6081
Aberdeen|WA|98547|46.8328|-123.8954
Aberdeen|WA|98550|47.1069|-123.9290
Aberdeen|WA|98552|47.3044|-123.9209
Aberdeen|WA|98562|47.2386|-124.0984
Aberdeen|WA|98563|47.5381|-123.7225
Aberdeen|WA|98569|46.9857|-124.1561
Aberdeen|WA|98571|47.1919|-124.1359
Aberdeen|WA|98590|46.7536|-123.9816
Aberdeen|WA|98595|46.8833|-124.1100
Adams - Mt. Greylock|MA|01070|42.5197|-72.9249
Adams - Mt. Greylock|MA|01220|42.6268|-73.1185
Adams - Mt. Greylock|MA|01225|42.5621|-73.1533
Adams - Mt. Greylock|MA|01237|42.5682|-73.2475
Adams - Mt. Greylock|MA|01247|42.6996|-73.0938
Adams - Mt. Greylock|MA|01256|42.5996|-73.0206
Adams - Mt. Greylock|MA|01267|42.6703|-73.2388
Adams - Mt. Greylock|MA|01270|42.5137|-73.0477
Adams - Mt. Greylock|MA|01339|42.6077|-72.8947
Adams - Mt. Greylock|MA|01343|42.6517|-72.9864
Adams - Mt. Greylock|MA|01367|42.6975|-72.9193
Aiken-Augusta - SC/GA|SC|29105|33.7887|-81.5820
Aiken-Augusta - SC/GA|SC|29137|33.5920|-81.3315
Aiken-Augusta - SC/GA|SC|29146|33.5020|-81.2792
Aiken-Augusta - SC/GA|SC|29164|33.6585|-81.4262
Aiken-Augusta - SC/GA|SC|29801|33.5863|-81.7036
Aiken-Augusta - SC/GA|SC|29803|33.4545|-81.7025
Aiken-Augusta - SC/GA|SC|29805|33.6551|-81.6214
Aiken-Augusta - SC/GA|SC|29808|33.2540|-81.6171
Aiken-Augusta - SC/GA|SC|29809|33.4168|-81.6887
Aiken-Augusta - SC/GA|SC|29812|33.2065|-81.3544
Aiken-Augusta - SC/GA|SC|29817|33.3663|-81.2863
Aiken-Augusta - SC/GA|SC|29821|33.6246|-82.1118
Aiken-Augusta - SC/GA|SC|29824|33.8123|-82.0182
Aiken-Augusta - SC/GA|SC|29829|33.5780|-81.8614
Aiken-Augusta - SC/GA|SC|29831|33.3094|-81.8253
Aiken-Augusta - SC/GA|SC|29832|33.8001|-81.8019
Aiken-Augusta - SC/GA|SC|29835|33.9173|-82.2540
Aiken-Augusta - SC/GA|SC|29838|33.7231|-82.2006
Aiken-Augusta - SC/GA|SC|29840|33.9841|-82.4655
Aiken-Augusta - SC/GA|SC|29841|33.5258|-81.9382
Aiken-Augusta - SC/GA|SC|29842|33.4434|-81.8678
Aiken-Augusta - SC/GA|SC|29845|33.8217|-82.2177
Aiken-Augusta - SC/GA|SC|29847|33.6975|-81.8621
Aiken-Augusta - SC/GA|SC|29848|34.0121|-82.3093
Aiken-Augusta - SC/GA|SC|29851|33.5087|-81.8182
Aiken-Augusta - SC/GA|SC|29853|33.4079|-81.4213
Aiken-Augusta - SC/GA|SC|29856|33.4797|-81.5188
Aiken-Augusta - SC/GA|SC|29860|33.6131|-81.9788
Aiken-Augusta - SC/GA|SC|30802|33.5968|-82.3175
Aiken-Augusta - SC/GA|SC|30805|33.2785|-82.1903
Aiken-Augusta - SC/GA|SC|30808|33.3821|-82.3905
Aiken-Augusta - SC/GA|SC|30809|33.5569|-82.1621
Aiken-Augusta - SC/GA|SC|30813|33.4723|-82.2217
Aiken-Augusta - SC/GA|SC|30814|33.4446|-82.3134
Aiken-Augusta - SC/GA|SC|30815|33.2843|-82.0964
Aiken-Augusta - SC/GA|SC|30824|33.5126|-82.5125
Aiken-Augusta - SC/GA|SC|30901|33.4312|-81.9544
Aiken-Augusta - SC/GA|SC|30904|33.4770|-82.0128
Aiken-Augusta - SC/GA|SC|30905|33.3634|-82.2156
Aiken-Augusta - SC/GA|SC|30906|33.3451|-81.9749
Aiken-Augusta - SC/GA|SC|30907|33.5215|-82.0872
Aiken-Augusta - SC/GA|SC|30909|33.4720|-82.0835
Albany|NY|12007|42.4769|-73.9427
Albany|NY|12008|42.8586|-73.9017
Albany|NY|12009|42.6992|-74.0373
Albany|NY|12010|42.9351|-74.1797
Albany|NY|12015|42.2866|-73.8245
Albany|NY|12017|42.3182|-73.4532
Albany|NY|12018|42.6331|-73.5265
Albany|NY|12019|42.9337|-73.8959
Albany|NY|12020|43.0003|-73.8735
Albany|NY|12022|42.6706|-73.3314
Albany|NY|12023|42.6038|-74.1704
Albany|NY|12024|42.4828|-73.5443
Albany|NY|12025|43.0823|-74.1487
Albany|NY|12027|42.9248|-73.9045
Albany|NY|12028|42.9536|-73.4532
Albany|NY|12029|42.4100|-73.4222
Albany|NY|12031|42.7614|-74.4728
Albany|NY|12033|42.5390|-73.7061
Albany|NY|12035|42.7342|-74.3790
Albany|NY|12036|42.5372|-74.6851
Albany|NY|12037|42.3375|-73.5572
Albany|NY|12041|42.5587|-73.9866
Albany|NY|12042|42.3797|-73.8688
Albany|NY|12043|42.7034|-74.5228
Albany|NY|12046|42.4929|-73.9146
Albany|NY|12047|42.7838|-73.7269
Albany|NY|12051|42.3459|-73.8453
Albany|NY|12052|42.7591|-73.4750
Albany|NY|12053|42.7542|-74.1916
Albany|NY|12054|42.6067|-73.8693
Albany|NY|12055|42.6810|-73.7580
Albany|NY|12056|42.7689|-74.0919
Albany|NY|12057|42.9702|-73.3456
Albany|NY|12058|42.3507|-73.9239
Albany|NY|12059|42.6174|-74.0610
Albany|NY|12060|42.4193|-73.4915
Albany|NY|12061|42.5977|-73.6530
Albany|NY|12062|42.5252|-73.5092
Albany|NY|12065|42.8503|-73.7880
Albany|NY|12066|42.7812|-74.2997
Albany|NY|12067|42.5582|-73.9241
Albany|NY|12068|42.9574|-74.4042
Albany|NY|12070|42.9846|-74.2527
Albany|NY|12071|42.5694|-74.4206
Albany|NY|12072|42.8827|-74.3604
Albany|NY|12074|43.0337|-74.0383
Albany|NY|12075|42.2986|-73.6399
Albany|NY|12076|42.4100|-74.3913
Albany|NY|12077|42.5976|-73.7858
Albany|NY|12078|43.1225|-74.3673
Albany|NY|12083|42.4258|-74.0264
Albany|NY|12084|42.7012|-73.9027
Albany|NY|12086|42.9968|-74.1184
Albany|NY|12087|42.4274|-73.8877
Albany|NY|12090|42.8809|-73.3563
Albany|NY|12092|42.7050|-74.3746
Albany|NY|12093|42.4978|-74.6256
Albany|NY|12094|42.8771|-73.4858
Albany|NY|12095|43.0271|-74.3913
Albany|NY|12106|42.3829|-73.7086
Albany|NY|12110|42.7538|-73.7774
Albany|NY|12113|42.6810|-73.7580
Albany|NY|12117|43.1623|-74.2454
Albany|NY|12118|42.9224|-73.7254
Albany|NY|12120|42.4611|-74.1435
Albany|NY|12121|42.8420|-73.6036
Albany|NY|12122|42.5375|-74.3054
Albany|NY|12123|42.5215|-73.6098
Albany|NY|12125|42.4767|-73.4050
Albany|NY|12130|42.4475|-73.6566
Albany|NY|12131|42.4616|-74.4659
Albany|NY|12135|42.6810|-73.7580
Albany|NY|12136|42.4313|-73.5587
Albany|NY|12137|42.8517|-74.1315
Albany|NY|12138|42.7450|-73.3696
Albany|NY|12140|42.6929|-73.5702
Albany|NY|12143|42.4878|-73.8524
Albany|NY|12144|42.6290|-73.7167
Albany|NY|12147|42.5140|-74.1534
Albany|NY|12148|42.8368|-73.8503
Albany|NY|12149|42.6199|-74.5682
Albany|NY|12150|42.8755|-74.0499
Albany|NY|12151|42.9180|-73.7842
Albany|NY|12153|42.6388|-73.4636
Albany|NY|12154|42.9366|-73.6027
Albany|NY|12156|42.4748|-73.7434
Albany|NY|12157|42.6589|-74.3044
Albany|NY|12158|42.5434|-73.8220
Albany|NY|12159|42.6447|-73.8837
Albany|NY|12160|42.7643|-74.3764
Albany|NY|12165|42.3058|-73.4939
Albany|NY|12166|42.8382|-74.4524
Albany|NY|12168|42.5584|-73.3886
Albany|NY|12169|42.5799|-73.4383
Albany|NY|12170|42.9957|-73.6640
Albany|NY|12173|42.3810|-73.7587
Albany|NY|12175|42.5442|-74.5344
Albany|NY|12176|42.3853|-73.9582
Albany|NY|12180|42.7507|-73.5991
Albany|NY|12182|42.7990|-73.6336
Albany|NY|12183|42.7484|-73.6931
Albany|NY|12184|42.4258|-73.6549
Albany|NY|12185|42.8937|-73.5342
Albany|NY|12186|42.6311|-73.9734
Albany|NY|12187|42.6199|-74.4543
Albany|NY|12188|42.8220|-73.6971
Albany|NY|12189|42.7353|-73.7177
Albany|NY|12192|42.4046|-73.8189
Albany|NY|12193|42.5162|-74.0461
Albany|NY|12194|42.5201|-74.4582
Albany|NY|12196|42.6325|-73.6185
Albany|NY|12198|42.6789|-73.6309
Albany|NY|12202|42.6339|-73.7640
Albany|NY|12203|42.6815|-73.8457
Albany|NY|12204|42.6860|-73.7313
Albany|NY|12205|42.7165|-73.8265
Albany|NY|12206|42.6739|-73.7799
Albany|NY|12207|42.6550|-73.7495
Albany|NY|12208|42.6515|-73.8075
Albany|NY|12209|42.6389|-73.7886
Albany|NY|12210|42.6591|-73.7571
Albany|NY|12211|42.7059|-73.7614
Albany|NY|12233|42.6149|-73.9708
Albany|NY|12302|42.8805|-73.9848
Albany|NY|12303|42.7496|-73.9264
Albany|NY|12304|42.7679|-73.8938
Albany|NY|12305|42.8147|-73.9426
Albany|NY|12306|42.8083|-74.0268
Albany|NY|12307|42.8051|-73.9342
Albany|NY|12308|42.8218|-73.9208
Albany|NY|12309|42.7962|-73.8672
