GRIP Oxygen Isotopes

REFERENCES:		

Johnsen, S.J., H.B. Clausen, W. Dansgaard, N.S. Gundestrup, C.U. Hammer, U.
Andersen, K.K. Andersen, C.S. Hvidberg, D. Dahl-Jensen, J.P. Steffensen, H.
Shoji, A.E. Sveinbjörnsdóttir, J.W.C. White, J. Jouzel, and D. Fisher.
1997. The d18O record along the Greenland Ice Core Pproject deep ice core
and the problem of possible Eemian climatic instability. Journal of
Geophysical Research 102:26397-26410.

Dansgaard, W., S.J. Johnsen, H.B. Clausen, D. Dahl-Jensen, N.S. Gundestrup,
C.U. Hammer, C.S. Hvidberg, J.P. Steffensen, A.E. Sveinbjörnsdóttir, J.
Jouzel, and G.C. Bond. 1993. Evidence for general instability of past
climate from a 250 kyr ice-core record. Nature 264:218-220.

GRIP Members. 1993. Climate instability during the last interglacial period
recorded in the GRIP ice core. Nature 364:203-207.

Grootes, P.M., M. Stuiver, J.W.C. White, S.J. Johnsen, and J. Jouzel. 1993.
Comparison of oxygen isotope records from the GISP2 and GRIP Greenland ice
cores. Nature 366:552-554.

Dansgaard, W., J.W.C. White, and S.J. Johnsen. 1989. The abrupt termination
of the Younger Dryas climate event. Nature 339:532-533.

DATA DESCRIPTION:
		
This data set contains 55cm average delta 18-O values from the GRIP core. 
These data were used in the construction of the glaciological timescale 
given in the file gripage.dat and reproduced here.

DATA:

Depth (m)	del18O	Age (yrs BP)
Top	(per mil)	Top

0.00	-35.04	-39.000
0.55	-33.81	-38.065
1.10	-36.18	-37.187
1.65	-34.92	-36.118
2.20	-35.62	-35.145
2.75	-33.07	-34.097
3.30	-34.49	-33.188
3.85	-35.24	-32.195
4.40	-34.17	-31.128
4.95	-35.11	-30.120
5.50	-34.37	-29.028
6.05	-34.4	-27.973
6.60	-34.48	-26.898
7.15	-35.28	-25.798
7.70	-37.06	-24.613
8.25	-35.41	-23.171
8.80	-37.21	-21.93
9.35	-34.24	-20.411
9.90	-33.67	-19.231
10.45	-36.44	-18.068
11.00	-33.35	-16.603
11.55	-35.3	-15.416
12.10	-34.06	-14.054
12.65	-34.72	-12.784
13.20	-36.51	-11.436
13.75	-34.72	-9.831
14.30	-36.47	-8.442
14.85	-35.63	-6.811
15.40	-34.45	-5.302
15.95	-35.36	-3.916
16.50	-35.38	-2.427
17.05	-35.26	-0.927
17.60	-37.49	0.565
18.15	-35.29	2.458
18.70	-33.95	3.968
19.25	-33.42	5.354
19.80	-35.19	6.712
20.35	-33.93	8.233
20.90	-34.89	9.638
21.45	-33.74	11.139
22.00	-36.16	12.543
22.55	-34.63	14.235
23.10	-33.28	15.73
23.65	-34.47	17.127
24.20	-33.43	18.62
24.75	-35.35	20.038
25.30	-32.45	21.647
25.85	-35.1	23.034
26.40	-36.28	24.626
26.95	-35.06	26.405
27.50	-36.59	28.006
28.05	-35.21	29.862
28.60	-35.55	31.498
29.15	-33.2	33.188
29.70	-36.08	34.654
30.25	-36.09	36.446
30.80	-35.18	38.249
31.35	-33.73	39.918
31.90	-34.5	41.446
32.45	-37.43	43.049
33.00	-35.73	45.183
33.55	-34.94	46.964
34.10	-35.39	48.64
34.65	-35.04	50.384
35.20	-35.46	52.087
35.75	-34.74	53.857
36.30	-35.18	55.538
36.85	-35.05	57.282
37.40	-36.53	59.016
37.95	-34.89	61.01
38.50	-34.68	62.74
39.05	-34.93	64.45
39.60	-35.22	66.2
40.15	-35.92	67.99
40.70	-34.89	69.91
41.25	-34.85	71.67
41.80	-34.77	73.44
42.35	-34.94	75.2
42.90	-34.67	76.99
43.45	-34.24	78.75
44.00	-35.65	80.48
44.55	-36.26	82.4
45.10	-36.77	84.44
45.65	-34.97	86.61
46.20	-35.37	88.45
46.75	-34.46	90.35
47.30	-35.45	92.14
47.85	-35.82	94.07
48.40	-35.42	96.07
48.95	-33.89	98.01
49.50	-34.72	99.77
50.05	-35.5	101.62
50.60	-35.95	103.59
51.15	-35.11	105.66
51.70	-34.78	107.58
52.25	-34.09	109.47
52.80	-34.19	111.28
53.35	-38.19	113.1
53.90	-34.51	115.85
54.45	-35.33	117.72
55.00	-35.37	119.72
55.55	-34.24	121.74
56.10	-35.79	123.6
56.65	-35.57	125.7
57.20	-34.8	127.77
57.75	-34.68	129.72
58.30	-35.69	131.66
58.85	-34.69	133.77
59.40	-35.33	135.72
59.95	-34.86	137.78
60.50	-34.61	139.77
61.05	-34.63	141.73
61.60	-34	143.7
62.15	-34.54	145.6
62.70	-34.65	147.57
63.25	-35.72	149.55
63.80	-35.66	151.73
64.35	-34.16	153.89
64.90	-34.64	155.84
65.45	-34.6	157.84
66.00	-34.26	159.85
66.55	-33.26	161.82
67.10	-34.46	163.7
67.65	-35.16	165.71
68.20	-35.82	167.82
68.75	-36.13	170.07
69.30	-34.55	172.39
69.85	-35.27	174.42
70.40	-34.8	176.58
70.95	-34.9	178.66
71.50	-35.42	180.77
72.05	-34.17	182.96
72.60	-35.11	184.98
73.15	-35.1	187.13
73.70	-34.65	189.29
74.25	-35.84	191.38
74.80	-35.89	193.68
75.35	-35.77	196.01
75.90	-36.07	198.31
76.45	-35.46	200.68
77.00	-34.78	202.93
77.55	-34.68	205.07
78.10	-33.8	207.19
78.65	-35.38	209.21
79.20	-35.37	211.46
79.75	-35.28	213.72
80.30	-34.71	215.96
80.85	-32.93	218.11
81.40	-34.15	220.08
81.95	-33.95	222.16
82.50	-35.22	224.23
83.05	-37.02	226.48
83.60	-35	229.17
84.15	-35.02	231.39
84.70	-34.48	233.62
85.25	-35.35	235.77
85.80	-35.44	238.07
86.35	-35.2	240.38
86.90	-36.27	242.66
87.45	-33.42	245.17
88.00	-37.07	247.22
88.55	-36.58	249.97
89.10	-35.05	252.58
89.65	-35.6	254.85
90.20	-35.28	257.22
90.75	-36.29	259.54
91.30	-35.34	262.08
91.85	-34.24	264.41
92.40	-35.6	266.57
92.95	-35.12	268.97
93.50	-36.1	271.27
94.05	-36.1	273.78
94.60	-35.05	276.3
95.15	-35.75	278.6
95.70	-34.81	281.04
96.25	-34.91	283.3
96.80	-34.42	285.59
97.35	-35.7	287.8
97.90	-35.88	290.24
98.45	-35.11	292.73
99.00	-35.56	295.06
99.55	-34.09	297.48
100.10	-34.88	299.66
100.65	-35.92	301.96
101.20	-34.66	304.47
101.75	-34.63	306.73
102.30	-36.19	309
102.85	-35.53	311.59
103.40	-35.26	314.02
103.95	-34.35	316.4
104.50	-33.81	318.64
105.05	-35.47	320.8
105.60	-36.71	323.24
106.15	-35.36	325.99
106.70	-34.95	328.4
107.25	-36.17	330.74
107.80	-33.75	333.35
108.35	-35.1	335.52
108.90	-35.37	337.89
109.45	-35.18	340.32
110.00	-35.69	342.71
110.55	-35.19	345.21
111.10	-35.86	347.61
111.65	-35.06	350.16
112.20	-33.51	352.54
112.75	-34.98	354.7
113.30	-34.94	357.07
113.85	-34.86	359.43
114.40	-34.13	361.79
114.95	-35.9	364.03
115.50	-35.43	366.6
116.05	-34.97	369.06
116.60	-34.8	371.44
117.15	-34.17	373.79
117.70	-34.84	376.05
118.25	-34.94	378.41
118.80	-36.88	380.79
119.35	-35.37	383.65
119.90	-35.72	386.12
120.45	-34.42	388.66
121.00	-34.57	390.96
121.55	-34.87	393.29
122.10	-35.12	395.67
122.65	-34.07	398.09
123.20	-36.05	400.35
123.75	-35.75	402.99
124.30	-34.47	405.55
124.85	-35.75	407.87
125.40	-34.52	410.44
125.95	-34.43	412.77
126.50	-34.87	415.09
127.05	-34.73	417.48
127.60	-34.97	419.85
128.15	-34.9	422.26
128.70	-35.32	424.67
129.25	-34.67	427.15
129.80	-36.76	429.51
130.35	-33.78	432.37
130.90	-34.97	434.62
131.45	-34.14	437.04
132.00	-34.75	439.33
132.55	-34.7	441.72
133.10	-34.79	444.1
133.65	-34.37	446.49
134.20	-34.44	448.82
134.75	-35.37	451.16
135.30	-35.3	453.67
135.85	-36.29	456.16
136.40	-34.58	458.9
136.95	-35.91	461.27
137.50	-35.42	463.91
138.05	-35.62	466.43
138.60	-34.75	469
139.15	-35.42	471.4
139.70	-36.02	473.93
140.25	-36.51	476.6
140.80	-34.64	479.41
141.35	-34.96	481.8
141.90	-34.57	484.24
142.45	-34.29	486.62
143.00	-34.58	488.96
143.55	-34.56	491.34
144.10	-35.77	493.72
144.65	-34.75	496.34
145.20	-34.87	498.75
145.75	-34.63	501.18
146.30	-34.22	503.58
146.85	-33.93	505.91
147.40	-34.76	508.21
147.95	-35.93	510.63
148.50	-34.69	513.29
149.05	-35.44	515.7
149.60	-34.7	518.26
150.15	-35.55	520.67
150.70	-36.43	523.25
151.25	-36	526.06
151.80	-35.11	528.75
152.35	-34.59	531.25
152.90	-35.3	533.65
153.45	-34.48	536.18
154.00	-33.92	538.56
154.55	-34.08	540.87
155.10	-34.52	543.2
155.65	-35.02	545.59
156.20	-35.7	548.07
156.75	-34.95	550.7
157.30	-34.34	553.17
157.85	-33.84	555.54
158.40	-35.3	557.84
158.95	-35.94	560.38
159.50	-34.32	563.07
160.05	-35.45	565.44
160.60	-36.74	568.02
161.15	-36.56	570.95
161.70	-35.4	573.82
162.25	-35.94	576.38
162.80	-34.32	579.08
163.35	-34.02	581.46
163.90	-35.93	583.79
164.45	-37.06	586.49
165.00	-36.02	589.53
165.55	-35.86	592.25
166.10	-36.38	594.94
166.65	-35.09	597.76
167.20	-36.53	600.27
167.75	-36.44	603.14
168.30	-34.65	605.99
168.85	-34.29	608.42
169.40	-35.39	610.8
