# Law Dome Ice Core 1,800 Year Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/22476 
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/law/law2012d18o.txt 
#       Description: NOAA location of the template
#
# Original_Source_URL: https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-DSS.Moy.2012.txt
#       Description: PAGES2k 2017 
# 
# Original_Source_URL: https://data.aad.gov.au/metadata/records/LD2012-d18O-Native-age
#       Description:
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Core
#
# Dataset DOI: 
#
# Parameter_Keywords: oxygen isotopes 
#--------------------
# Contribution_Date
#     Date: 2017-05-19
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Law Dome Ice Core 1,800 Year Oxygen Isotope Data
#------------------
# Investigators
#     Investigators: Plummer, C.T.; Curran, M.A.J.; van Ommen, T.D.; Rasmussen, S.O.; Moy, A.D.; Vance, T.R.; Clausen, H.B.; Vinther, B.M.; Mayewski, P.A.
#------------------
# Description_Notes_and_Keywords
#     Description: Annual oxygen isotope (d18O) data from the Law Dome ice core, East Antarctica for 173 - 1995 CE. 
#------------------
# Publication
#     Authors: C.T. Plummer, M.A.J. Curran, T.D. van Ommen, S.O. Rasmussen, A.D. Moy, T.R. Vance, H.B. Clausen, B.M. Vinther, and P.A. Mayewski
#     Published_Date_or_Year: 2012-11-28
#     Published_Title: An independently dated 2000-yr volcanic record from Law Dome, East Antarctica, including a new perspective on the dating of the 1450s CE eruption of Kuwae, Vanuatu 
#     Journal_Name: Climate of the Past
#     Volume: 8
#     Edition: 
#     Issue: 6
#     Pages: 1929-1940
#     Report: 
#     DOI: 10.5194/cp-8-1929-2012
#     Online_Resource: https://www.clim-past.net/8/1929/2012/
#     Full_Citation: 
#     Abstract: Volcanic eruptions are an important cause of natural climate variability. In order to improve the accuracy of climate models, precise dating and magnitude of the climatic effects of past volcanism are necessary. Here we present a 2000-yr record of Southern Hemisphere volcanism recorded in ice cores from the high accumulation Law Dome site, East Antarctica. The ice cores were analysed for a suite of chemistry signals and are independently dated via annual layer counting, with 11 ambiguous years at 23 BCE, which has presently the lowest error of all published long Antarctic ice cores. Independently dated records are important to avoid circular dating where volcanic signatures are assigned a date from some external information rather than using the date it is found in the ice core. Forty-five volcanic events have been identified using the sulphate chemistry of the Law Dome record. The low dating error and comparison with the NGRIP (North Greenland Ice Core Project) volcanic records (on the GICC05 timescale) suggest Law Dome is the most accurately dated Antarctic volcanic dataset, which will improve the dating of individual volcanic events and potentially allow better correlation between ice core records, leading to improvements in global volcanic forcing datasets. One of the most important volcanic events of the last two millennia is the large 1450s CE event, usually assigned to the eruption of Kuwae, Vanuatu. In this study, we review the evidence surrounding the presently accepted date for this event, and make the case that two separate eruptions have caused confusion in the assignment of this event. Volcanic sulphate deposition estimates are important for modelling the climatic response to eruptions. The largest volcanic sulphate events in our record are dated at 1458 CE (Kuwae?, Vanuatu), 1257 and 422 CE (unidentified).
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Law Dome
#     Location: Antarctica
#     Country: 
#     Northernmost_Latitude: -66.77
#     Southernmost_Latitude: -66.77
#     Easternmost_Longitude: 112.807
#     Westernmost_Longitude: 112.807
#     Elevation: 1370 m
#------------------
# Data_Collection
#     Collection_Name: Law2012d18O
#     Earliest_Year: 173 
#     Most_Recent_Year: 1995 
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Chronology:        
#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
## age_CE	age, , , year CE, , , , ,N, 
## d18O	delta 18O, ice, , per mil SMOW, annual, ice core, , isotope ratio mass spectrometry,N, 
#
#------------------
# Data:        
# Data lines follow (have no #) 
# Data line format - tab-delimited text, variable short name as header)  
# Missing_Values: 
#
age_CE	d18O
1995	-21.5599
1994	-22.8213
1993	-23.256
1992	-21.6846
1991	-22.2671
1990	-23.2596
1989	-22.0303
1988	-21.4405
1987	-23.1244
1986	-23.1415
1985	-22.7624
1984	-21.0634
1983	-21.8824
1982	-21.8581
1981	-21.5915
1980	-22.0825
1979	-22.6951
1978	-23.0347
1977	-21.2044
1976	-22.7876
1975	-20.6479
1974	-21.5058
1973	-23.3331
1972	-22.0923
1971	-21.9223
1970	-22.6167
1969	-22.9148
1968	-22.5017
1967	-22.0465
1966	-23.9
1965	-22.2701
1964	-22.221
1963	-22.1518
1962	-22.592
1961	-22.7673
1960	-22.9944
1959	-23.1659
1958	-21.5289
1957	-23.0646
1956	-21.8099
1955	-22.309
1954	-21.9265
1953	-21.5128
1952	-22.9906
1951	-22.1041
1950	-21.3597
1949	-22.252
1948	-21.8949
1947	-22.6933
1946	-23.2407
1945	-22.8317
1944	-22.7046
1943	-22.0262
1942	-21.6228
1941	-22.3035
1940	-22.9746
1939	-21.7469
1938	-23.1844
1937	-21.946
1936	-23.3035
1935	-22.5538
1934	-23.0833
1933	-22.5867
1932	-21.6193
1931	-21.1342
1930	-22.4982
1929	-22.5082
1928	-21.5651
1927	-22.8367
1926	-22.2605
1925	-22.8908
1924	-22.6067
1923	-22.2861
1922	-22.2194
1921	-23.0225
1920	-22.5877
1919	-21.8157
1918	-22.2586
1917	-21.079
1916	-23.1988
1915	-21.5641
1914	-22.5154
1913	-22.4841
1912	-22.3485
1911	-22.2058
1910	-22.2982
1909	-21.782
1908	-22.4768
1907	-22.1144
1906	-22.4874
1905	-21.9123
1904	-23.4252
1903	-22.842
1902	-21.1678
1901	-22.55
1900	-21.4715
1899	-22.1229
1898	-20.6451
1897	-22.9053
1896	-23.2721
1895	-21.895
1894	-21.1925
1893	-21.768
1892	-23.0523
1891	-22.2806
1890	-23.2764
1889	-22.8712
1888	-22.7319
1887	-23.0483
1886	-22.4451
1885	-21.9785
1884	-21.5824
1883	-23.8538
1882	-22.153
1881	-23.7111
1880	-21.6596
1879	-21.8918
1878	-22.2973
1877	-23.2624
1876	-22.2756
1875	-23.4602
1874	-22.8618
1873	-23.2182
1872	-23.6717
1871	-21.1403
1870	-22.0641
1869	-22.8523
1868	-21.7032
1867	-22.186
1866	-21.4544
1865	-23.916
1864	-22.4108
1863	-22.2642
1862	-22.6739
1861	-20.652
1860	-22.7527
1859	-21.5226
1858	-21.9672
1857	-22.0636
1856	-22.1562
1855	-22.5706
1854	-21.8733
1853	-22.2118
1852	-22.0688
1851	-21.0122
1850	-22.9017
1849	-21.9661
1848	-20.6483
1847	-21.1923
1846	-22.3591
1845	-22.3536
1844	-21.0635
1843	-21.3967
1842	-23.16
1841	-24.1516
1840	-23.0127
1839	-22.6621
1838	-22.9353
1837	-22.7448
1836	-22.9508
1835	-22.8067
1834	-22.0054
1833	-21.7471
1832	-21.7977
1831	-21.2227
1830	-22.9891
1829	-21.3249
1828	-21.3867
1827	-22.3748
1826	-22.1097
1825	-22.4445
1824	-21.8293
1823	-22.4608
1822	-23.5871
1821	-21.959
1820	-23.0764
1819	-21.7889
1818	-22.6009
1817	-23.3844
1816	-23.4339
1815	-22.461
1814	-22.7298
1813	-21.7963
1812	-22.0985
1811	-21.7683
1810	-23.0832
1809	-21.8229
1808	-22.7333
1807	-23.8195
1806	-23.0126
1805	-22.2517
1804	-22.7127
1803	-24.551
1802	-22.2186
1801	-22.5676
1800	-21.9867
1799	-21.9691
1798	-22.7462
1797	-23.3573
1796	-21.8502
1795	-22.7258
1794	-22.1825
1793	-22.4667
1792	-22.5466
1791	-21.5231
1790	-22.0831
1789	-21.8122
1788	-22.5327
1787	-23.0538
1786	-22.9285
1785	-22.2783
1784	-23.4693
1783	-21.1532
1782	-21.5947
1781	-23.0051
1780	-22.2875
1779	-21.9953
1778	-22.0808
1777	-22.1253
1776	-22.1435
1775	-21.6144
1774	-20.5411
1773	-22.764
1772	-22.1208
1771	-21.9968
1770	-21.8483
1769	-21.6906
1768	-21.5046
1767	-21.8568
1766	-21.3837
1765	-22.5587
1764	-21.7092
1763	-21.822
1762	-22.1144
1761	-24.2288
1760	-22.6028
1759	-22.9308
1758	-23.3408
1757	-22.2255
1756	-21.9125
1755	-22.3586
1754	-22.6438
1753	-21.0986
1752	-21.9159
1751	-21.1342
1750	-22.7713
1749	-22.6628
1748	-21.436
1747	-22.3033
1746	-22.0888
1745	-21.5322
1744	-22.8979
1743	-22.4581
1742	-22.6523
1741	-21.9134
1740	-22.7785
1739	-22.0073
1738	-22.7939
1737	-22.0167
1736	-22.0578
