Year,d18O
1985,-17.32
1975,-18.20
1965,-16.46
1955,-17.88
1945,-17.18
1935,-16.93
1925,-17.39
1915,-18.10
1905,-17.84
1895,-18.99
1885,-17.19
1875,-16.50
1865,-17.49
1855,-17.87
1845,-17.96
1835,-17.29
1825,-16.64
1815,-18.18
1805,-17.13
1795,-16.41
1785,-16.71
1775,-18.46
1765,-17.23
1755,-18.33
1745,-18.14
1735,-19.34
1725,-20.06
1715,-19.57
1705,-18.16
1695,-18.74
1685,-19.04
1675,-18.97
1665,-19.12
1655,-19.19
1645,-19.27
1635,-19.29
1625,-19.39
1615,-18.85
1605,-19.59
1595,-18.74
1585,-19.76
1575,-19.37
1565,-19.58
1555,-18.77
1545,-19.19
1535,-19.21
1525,-19.04
1515,-19.69
1505,-19.15
1495,-19.58
1485,-19.44
1475,-19.31
1465,-19.20
1455,-19.03
1445,-19.10
1435,-19.64
1425,-19.04
1415,-19.25
1405,-19.06
1395,-18.80
1385,-18.65
1375,-18.56
1365,-18.93
1355,-19.23
1345,-18.96
1335,-18.80
1325,-18.20
1315,-18.54
1305,-18.35
1295,-18.46
1285,-18.84
1275,-18.62
1265,-18.49
1255,-18.12
1245,-18.41
1235,-18.71
1225,-18.27
1215,-18.54
1205,-18.44
1195,-18.31
1185,-17.68
1175,-17.81
1165,-18.21
1155,-17.54
1145,-18.26
1135,-18.24
1125,-18.29
1115,-18.57
1105,-18.43
1095,-18.50
1085,-18.75
1075,-18.03
1065,-18.05
1055,-18.45
1045,-18.37
1035,-18.41
1025,-18.89
1015,-18.71
1005,-18.09
995,-18.06
985,-18.15
975,-18.07
965,-18.26
955,-18.49
945,-18.42
935,-18.33
925,-18.14
915,-18.73
905,-18.32
895,-18.52
885,-18.33
875,-18.31
865,-18.51
855,-18.66
845,-18.70
835,-18.62
825,-18.53
815,-18.55
805,-18.82
795,-18.19
785,-18.81
775,-18.61
765,-18.70
755,-19.04
745,-18.65
735,-18.58
725,-18.80
715,-18.82
705,-18.29
695,-18.84
685,-18.57
675,-18.97
665,-18.94
655,-18.80
645,-18.63
635,-18.48
625,-18.22
615,-18.96
605,-18.85
595,-18.38
585,-18.72
575,-18.26
565,-18.35
555,-18.42
545,-18.71
535,-18.58
525,-18.33
515,-18.33
505,-18.25
495,-18.35
485,-18.27
475,-18.30
465,-18.25
455,-18.01
445,-17.91
435,-17.97
425,-18.30
415,-18.03
405,-17.77
395,-18.08
385,-18.20
375,-18.08
365,-18.10
355,-18.23
345,-18.08
335,-18.30
325,-17.65
315,-18.11
305,-18.49
295,-18.57
285,-18.32
275,-18.49
265,-18.83
255,-18.63
245,-18.47
235,-18.45
225,-18.75
215,-18.39
205,-18.36
