Year,d18O
1995,-16.67
1985,-17.46
1975,-18.46
1965,-16.87
1955,-17.76
1945,-17.62
1935,-17.64
1925,-17.97
1915,-17.80
1905,-17.95
1895,-18.64
1885,-18.16
1875,-18.39
1865,-18.50
1855,-18.53
1845,-17.70
1835,-18.31
1825,-17.69
1815,-20.31
1805,-18.71
1795,-18.22
1785,-19.00
1775,-19.06
1765,-18.92
1755,-19.28
1745,-18.48
1735,-19.10
1725,-17.88
1715,-18.40
1705,-19.50
1695,-18.70
1685,-18.75
1675,-19.52
1665,-19.09
1655,-18.19
1645,-19.05
1635,-17.93
1625,-19.25
1615,-18.80
1605,-18.48
1595,-18.27
1585,-18.50
1575,-19.31
1565,-18.35
1555,-18.67
1545,-18.79
1535,-17.87
1525,-17.56
1515,-18.25
1505,-18.00
1495,-17.95
1485,-18.30
1475,-18.73
1465,-18.15
1455,-17.66
1445,-17.72
1435,-18.20
1425,-18.13
1415,-17.95
1405,-18.59
1395,-17.83
1385,-17.16
1375,-16.73
1365,-18.11
1355,-18.96
1345,-17.57
1335,-17.26
1325,-17.80
1315,-18.73
1305,-17.36
1295,-18.56
1285,-18.36
1275,-19.14
1265,-17.13
1255,-18.34
1245,-17.65
1235,-17.49
1225,-17.99
1215,-17.98
1205,-18.44
1195,-18.60
1185,-17.66
1175,-17.82
1165,-18.40
1155,-17.63
1145,-17.85
1135,-18.35
1125,-18.16
1115,-17.53
1105,-16.56
1095,-18.22
1085,-18.82
1075,-18.98
1065,-18.51
1055,-17.81
1045,-18.70
1035,-17.20
1025,-17.44
1015,-18.21
1005,-17.92
