# WAIS Divide Ice Core 2,000 Year Hydrogen and Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/22531 
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/wdc05a2013d18o.txt
#       Description: NOAA location of the template
#
# Original_Source_URL: https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ant-WDC05A.Steig.2013.txt
#       Description:
# 
# Original_Source_URL: http://dx.doi.org/10.7265/N5QJ7F8B  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Core
#
# Dataset DOI: 
#
# Parameter_Keywords: oxygen isotopes 
#--------------------
# Contribution_Date
#	Date: 2017-05-19
#--------------------
# File_Last_Modified_Date
#	Date: 2017-05-19
#--------------------
# Title
#	Study_Name: WAIS Divide Ice Core 2,000 Year Hydrogen and Oxygen Isotope Data
#--------------------
# Investigators
#     Investigators: Steig, E.J.; Ding, Q.; White, J.W.C.; Küttel, M.; Rupper, S.B.; Neumann, T.A.; Neff, P.D.; Gallant, A.J.E.; Mayewski, P.A.; Taylor, K.C.; Hoffmann, G.; Dixon, D.A.; Schoenemann, S.W.; Markle, B.R.; Fudge, T.J.; Schneider, D.P.; Schauer, A.J.; Teel, R.P.; Vaughn, B.H.; Burgener, L.; Williams, J.; Korotkikh, E.
#------------------
# Description_Notes_and_Keywords
#	Description: WAIS Divide ice cores WDC05A and WDC06A oxygen and hydrogen isotope data for the past 2,000 years.
#--------------------
# Publication
#     Authors: Eric J. Steig, Qinghua Ding, James W.C. White, Marcel Küttel, Summer B. Rupper, Thomas A. Neumann, Peter D. Neff, Ailie J.E. Gallant, Paul A. Mayewski, Kendrick C. Taylor, Georg Hoffmann, Daniel A. Dixon, Spruce W. Schoenemann, Bradley R. Markle, Tyler J. Fudge, David P. Schneider, Andrew J. Schauer, Rebecca P. Teel, Bruce H. Vaughn, Landon Burgener, Jessica Williams, Elena Korotkikh
#     Published_Date_or_Year: 2013-04-13
#     Published_Title: Recent climate and ice-sheet changes in West Antarctica compared with the past 2,000 years
#     Journal_Name: Nature Geoscience
#     Volume: 6
#     Edition: 
#     Issue: 5
#     Pages: 372-375
#     Report: 
#     DOI: 10.1038/ngeo1778
#     Online_Resource: http://www.nature.com/ngeo/journal/v6/n5/full/ngeo1778.html
#     Full_Citation: 
#     Abstract: Changes in atmospheric circulation over the past five decades have enhanced the wind-driven inflow of warm ocean water onto the Antarctic continental shelf, where it melts ice shelves from below. Atmospheric circulation changes have also caused rapid warming over the West Antarctic Ice Sheet, and contributed to declining sea-ice cover in the adjacent Amundsen-Bellingshausen seas. It is unknown whether these changes are part of a longer-term trend. Here, we use water-isotope (d18O) data from an array of ice-core records to place recent West Antarctic climate changes in the context of the past two millennia. We find that the d18O of West Antarctic precipitation has increased significantly in the past 50 years, in parallel with the trend in temperature, and was probably more elevated during the 1990s than at any other time during the past 200 years. However, d18O anomalies comparable to those of recent decades occur about 1% of the time over the past 2,000 years. General circulation model simulations suggest that recent trends in d18O and climate in West Antarctica cannot be distinguished from decadal variability that originates in the tropics. We conclude that the uncertain trajectory of tropical climate variability represents a significant source of uncertainty in projections of West Antarctic climate and ice-sheet change.
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: WDC05A
#     Location: Antarctica
#     Country: 
#     Northernmost_Latitude: -79.46
#     Southernmost_Latitude: -79.46
#     Easternmost_Longitude: -112.09
#     Westernmost_Longitude: -112.09
#     Elevation: 1806 m
#------------------
# Data_Collection
#     Collection_Name: WDC05A2013d18O
#     Earliest_Year: 786
#     Most_Recent_Year: 2005
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Chronology:        
#	Chronology: 
#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
## age_CE	age, , , year CE, , , , ,N, 
## d18O	delta 18O, ice, , per mil VSMOW, annual, ice core, normalized to VSMOW-SLAP scale, isotope ratio mass spectrometry,N,  
#
#------------------
# Data: 
# Data lines follow (have no #) 
# Data line format - tab-delimited text, variable short name as header) 
# Missing_Values: 
#
age_CE	d18O	
2005	-33.3287
2004	-35.6732
2003	-33.1574
2002	-34.2854
2001	-34.4031
2000	-32.8942
1999	-35.0951
1998	-31.7644
1997	-32.9773
1996	-32.7068
1995	-33.8327
1994	-32.5145
1993	-32.6122
1992	-32.5273
1991	-32.8674
1990	-33.9901
1989	-34.2438
1988	-32.9162
1987	-33.0025
1986	-37.1463
1985	-35.2846
1984	-34.6864
1983	-33.282
1982	-33.0692
1981	-34.7731
1980	-32.6533
1979	-36.0742
1978	-36.1751
1977	-35.8719
1976	-33.3487
1975	-35.83
1974	-35.3461
1973	-35.2133
1972	-34.9128
1971	-33.075
1970	-33.1403
1969	-35.7742
1968	-35.1515
1967	-34.8335
1966	-32.052
1965	-33.4918
1964	-33.8164
1963	-35.2888
1962	-35.7232
1961	-33.5202
1960	-34.4439
1959	-34.5361
1958	-36.6785
1957	-32.8876
1956	-34.4578
1955	-34.0717
1954	-33.6196
1953	-34.4985
1952	-33.2588
1951	-34.0386
1950	-34.5101
1949	-33.2467
1948	-34.9369
1947	-35.1964
1946	-33.0785
1945	-33.9694
1944	-33.5028
1943	-33.9284
1942	-35.2091
1941	-33.7069
1940	-31.0915
1939	-33.7697
1938	-33.6283
1937	-34.3758
1936	-34.6807
1935	-34.325
1934	-34.6706
1933	-33.8114
1932	-33.8859
1931	-33.9431
1930	-34.1507
1929	-34.9277
1928	-33.3265
1927	-34.4088
1926	-32.5113
1925	-33.957
1924	-35.7288
1923	-34.072
1922	-34.5138
1921	-34.4869
1920	-33.2303
1919	-33.9462
1918	-33.9354
1917	-33.5484
1916	-34.1924
1915	-32.9855
1914	-34.718
1913	-32.533
1912	-31.6819
1911	-33.0753
1910	-33.2142
1909	-34.592
1908	-33.2968
1907	-34.5927
1906	-34.7571
1905	-33.4732
1904	-32.4471
1903	-33.2338
1902	-33.5882
1901	-33.1217
1900	-33.4308
1899	-34.0399
1898	-33.6278
1897	-34.721
1896	-33.6212
1895	-34.5987
1894	-35.554
1893	-34.8497
1892	-35.1116
1891	-33.8351
1890	-34.512
1889	-33.2285
1888	-31.2793
1887	-32.9104
1886	-34.037
1885	-34.1499
1884	-34.2326
1883	-33.3889
1882	-33.5836
1881	-34.5991
1880	-34.8189
1879	-32.1384
1878	-31.1594
1877	-31.5379
1876	-34.7671
1875	-35.432
1874	-34.2249
1873	-34.6342
1872	-34.0004
1871	-34.5299
1870	-35.8564
1869	-33.9813
1868	-34.2341
1867	-34.7123
1866	-34.2556
1865	-35.0483
1864	-35.5563
1863	-33.6109
1862	-33.6218
1861	-33.5544
1860	-33.1644
1859	-34.4451
1858	-35.4382
1857	-33.2041
1856	-34.4001
1855	-33.5982
1854	-33.0517
1853	-34.156
1852	-34.4048
1851	-34.3624
1850	-34.8442
1849	-35.3002
1848	-34.1592
1847	-34.342
1846	-34.658
1845	-33.8422
1844	-33.1875
1843	-34.7496
1842	-34.4269
1841	-35.7702
1840	-33.5106
1839	-32.8418
1838	-33.1402
1837	-33.7598
1836	-33.4022
1835	-32.4006
1834	-32.549
1833	-33.6204
1832	-35.0905
1831	-34.6109
1830	-33.4609
1829	-33.2842
1828	-34.3457
1827	-34.4243
1826	-31.2772
1825	-32.5161
1824	-33.1588
1823	-35.0812
1822	-34.9034
1821	-35.1416
1820	-34.9956
1819	-33.534
1818	-33.8863
1817	-33.2212
1816	-34.0532
1815	-33.0259
1814	-34.7453
1813	-34.0035
1812	-35.2047
1811	-35.1712
1810	-35.2437
1809	-35.3867
1808	-34.8837
1807	-35.1704
1806	-34.4766
1805	-34.0434
1804	-34.6202
1803	-32.1512
1802	-33.5392
1801	-35.0381
1800	-34.8903
1799	-33.7165
1798	-33.1338
1797	-33.9418
1796	-34.376
1795	-34.1093
1794	-33.5719
1793	-33.4067
1792	-33.4957
1791	-33.4564
1790	-33.4867
1789	-35.7144
1788	-34.2262
1787	-33.5477
1786	-33.5408
1785	-33.482
1784	-33.6972
1783	-34.3413
1782	-34.8519
1781	-34.7195
1780	-34.3951
1779	-34.5031
1778	-35.2252
1777	-34.8472
1776	-32.3478
1775	-33.1048
1774	-33.2161
1773	-35.3889
1772	-33.3238
1771	-32.2256
1770	-33.168
1769	-34.1378
1768	-34.277
1767	-33.4038
1766	-33.4422
1765	-32.2841
1764	-33.3544
1763	-33.0424
1762	-33.4732
1761	-33.587
1760	-33.8704
1759	-34.5707
1758	-35.4397
1757	-34.3064
1756	-34.765
1755	-35.7786
1754	-34.8533
1753	-34.056
1752	-33.6828
1751	-34.2037
1750	-33.213
1749	-33.1868
1748	-35.1331
1747	-33.4044
1746	-33.2668
1745	-34.187
1744	-34.4843
1743	-35.2315
1742	-35.182
1741	-35.1601
1740	-36.397
1739	-33.5633
1738	-32.3393
1737	-34.5662
1736	-33.0752
1735	-32.3072
1734	-31.8757
