state,pws,city,updatedAt,views,latitude,longitude,elevation,type,distance
AL,M42376,Gulf Shores,,,29.1,-87.9,,,778.894
AL,MDKGBED,Gulf Shores,,,29.4,-87.8,,,745.169
AL,MNWS0013,Dauphin Island,,,30,-88.4,,,713.905
MS,MS6TD,Pascagoula,,,30,-88.6,,,723.315
AL,M42012,Gulf Shores,60,,30.1,-87.6,0,,668.368
AL,MC6FU7,Dauphin Island,,,30.1,-88.1,,,690.108
MS,M42007,Biloxi,,,30.1,-88.8,,,721.736
MS,MGRPL1,Clermont Harbor,,,30.123,-89.25,-6,,739.902
MS,KMSBAYST12,Bay St. Louis,3,,30.208,-89.5,6,Ambient Weather WS-1001-WiFi (Wireless),742.522
MS,MPTBM6,Pascagoula,2 minutes,,30.213,-88.5,0,,697.844
AL,MFMOA1,Dauphin Island,3 minutes,,30.228,-88.025,0,,674.191
AL,MNP198,Dauphin Island,,,30.228,-88.025,,,674.191
AL,MMOB1,Dauphin Island,,,30.228,-88.024,,,674.145
MS,MGPOM6,Gulfport,,,30.23,-88.982,,,717.039
AL,MAU242,Gulf Shores,,,30.232,-87.905,,,668.348
AL,KALGULFS7,Gulf Shores,6,,30.246,-87.718,39,Davis Vantage Pro 2,658.751
AL,KALGULFS18,Gulf Shores,6,,30.246,-87.783,43,AcuRite Pro Weather Center,661.569
AL,MUSA2,Dauphin Island,,,30.25,-88.08,,,674.602
AL,MDILA1,Dauphin Island,3 minutes,,30.25,-88.075,0,,674.369
AL,MNP201,Dauphin Island,,,30.25,-88.075,,,674.369
AL,MDPIA1,Dauphin Island,3 minutes,,30.25,-88.07,0,,674.136
AL,KALDAUPH5,Dauphin Island,4 minutes,,30.25,-88.181,4,AcuRite Pro Weather Center,679.367
AL,MBONA1,Gulf Shores,12,,30.253,-87.812,19,,662.15
AL,KALDAUPH6,Dauphin Island,4 minutes,,30.253,-88.152,5,AcuRite Pro Weather Center,677.699
AL,KALDAUPH3,Dauphin Island,4 minutes,,30.254,-88.137,16,Davis Vantage Pro,676.893
AL,KALDAUPH7,Dauphin Island,4 minutes,,30.254,-88.137,5,Bloomsky2,676.893
AL,KALDAUPH4,Dauphin Island,4 minutes,,30.258,-88.09,6,Netatmo,674.295
AL,MPPSA1,Orange Beach,,,30.279,-87.555,,,648.578
AL,MD8679,Orange Beach,30,,30.28,-87.58,22,,649.519
AL,KALORANG16,Orange Beach,39,,30.28,-87.622,35,Davis Vantage Pro2 Plus (Wireless),651.282
AL,KALORANG19,Orange Beach,40,,30.282,-87.564,23,Davis Vantage Vue (Wireless),648.652
MS,MWAVM6,Waveland,,,30.282,-89.367,,,729.669
AL,KALORANG23,Orange Beach,39,,30.285,-87.52,0,AcuRite Pro Weather Center,646.532
AL,MD9919,Orange Beach,,,30.288,-87.511,,,645.861
AL,KALORANG20,Orange Beach,40,,30.293,-87.543,13,Davis Vantage Vue (Wireless),646.68
MS,KMSWAVEL4,Waveland,9,,30.293,-89.371,22,Ambient Weather WS-2080,728.724
AL,KALORANG10,Orange Beach,38,,30.294,-87.492,26,Davis Vantage Pro2 (Wireless),644.481
AL,ME5848,Bon Secour,75 days,,30.3,-87.7,29,,652.623
AL,KALORANG18,Orange Beach,39,,30.3,-87.508,0,Weatherflow,644.535
MS,MNWS0014,Pascagoula,,,30.3,-88.5,,,689.125
MS,KMSWAVEL11,Waveland,36,,30.3,-89.404,37,Ambient Weather WS-1400-IP (Wireless),729.36
MS,KMSWAVEL7,Waveland,9,,30.301,-89.396,13,Mississippi DEQ,728.933
AL,ME6361,Orange Beach,29,,30.304,-87.476,13,,642.824
AR,KARCONWA22,Conway,5 minutes,,30.306,-97.725,357,Netatmo,1065.968
MS,KMSPASSC13,Pass Christian,4 minutes,,30.314,-89.258,14,Vantage Vue,721.937
AL,KALGULFS13,Gulf Shores,6,,30.316,-87.712,20,Ambient Weather WS-1000 (Wireless),651.558
MS,KMSPASSC21,Pass Christian,4 minutes,,30.321,-89.233,49,Ambient Weather WS-1001-WiFi (Wireless),720.053
MS,KMSPASSC25,Pass Christian,4 minutes,,30.323,-89.223,49,Rainwise MK-III,719.378
MS,MWYCM6,Bay Saint Louis,5,,30.325,-89.325,0,,723.649
MS,KMSBAYSA4,Bay Saint Louis,5,,30.325,-89.401,22,AcuRite Pro Weather Center,726.728
MS,KMSBAYST13,Bay St. Louis,14,,30.332,-89.378,-3,AcuRite Pro Weather Center,725.087
MS,KMSLONGB18,Long Beach,3 minutes,,30.339,-89.182,46,AcuRite Pro Weather Center,715.865
MS,MRARM6,Pascagoula,2 minutes,,30.343,-88.512,0,,685.326
AL,KALFOLEY7,Foley,23,,30.346,-87.66,68,Netatmo,646.341
AL,KALFOLEY10,Foley,3,,30.347,-87.624,56,Davis Vantage Vue (Wireless),644.7
MS,MD7046,Long Beach,,,30.347,-89.154,,,713.753
MS,MULAM6,Pascagoula,,,30.348,-88.505,,,684.534
MS,MGWPM6,Gulfport,,,30.348,-89.087,,,710.467
MS,KMSPASCA5,Pascagoula,4 minutes,,30.348,-88.521,12,Davis Vantage PRO2,685.203
MS,KMSOCEAN35,Ocean Springs,11,,30.348,-88.712,26,AcuRite Pro Weather Center,693.382
MS,KMSLONGB1,Long Beach,3 minutes,,30.35,-89.185,28,Davis Vantage Pro2,714.954
AL,MD1516,Lillian,,,30.354,-87.502,,,638.879
AL,KALELBER6,Elberta,13,,30.355,-87.501,50,Ambient Weather WS-1001-WiFi (Wireless),638.738
MS,MDKCM6,Pascagoula,2 minutes,,30.355,-88.567,0,,686.443
MS,MNDBC,Bay Saint Louis,,,30.356,-89.61,,,732.403
MS,MGDXM6,Pascagoula,2 minutes,,30.357,-88.419,3,,680.082
MS,MPNLM6,Pascagoula,,,30.358,-88.567,,,686.144
AL,KALFOLEY12,Foley,2,,30.359,-87.644,66,AcuRite Pro Weather Center,644.364
MS,MCEPM6,Pascagoula,,,30.359,-88.521,,,684.105
MS,KMSLONGB15,Long Beach,0,,30.359,-89.172,36,Ambient Weather WS-1400-IP (Wireless),713.465
AL,KALELBER3,Elberta,5,,30.36,-87.602,43,AcuRite Pro Weather Center,642.472
MS,MGDQM6,Pascagoula,,,30.36,-88.463,,,681.59
MS,KMSLONGB19,Long Beach,1,,30.36,-89.141,39,Bloomsky,711.881
MS,KMSGULFP25,Gulfport,3,,30.36,-89.11,29,Weatherflow,710.401
MS,MC8594,Gulfport,,,30.361,-89.114,,,710.495
MS,KMSLONGB17,Long Beach,1,,30.361,-89.137,46,Ambient Weather WS-1400-IP (Wireless),711.593
AL,KALELBER4,Elberta,5,,30.362,-87.582,44,AcuRite Pro Weather Center,641.425
MS,KMSLONGB5,Long Beach,3,,30.362,-89.155,28,Oregon Scientific WMR968,712.359
AL,KALFOLEY6,Foley,8,,30.363,-87.648,59,Weatherflow,644.139
AL,KALCODEN3,Coden,6,,30.363,-88.113,13,Davis Vantage Pro2 (Wireless),665.245
MS,MC8151,Long Beach,,,30.363,-89.133,,,711.209
AL,KALFOLEY15,Foley,0,,30.364,-87.627,62,Davis Vantage Pro2 (Cabled),643.14
MS,KMSGULFP26,Gulfport,0,,30.364,-89.086,7,Davis Vantage Pro2 (Wireless),708.876
MS,MAP801,Pass Christian,,,30.367,-89.219,,,714.971
AL,KALFOLEY11,Foley,4,,30.37,-87.686,66,Ambient Weather WS-1001-WiFi (Wireless),645.088
AL,MAS683,Magnolia Springs,,,30.372,-87.829,,,651.21
AL,MC1231,Lillian,,,30.376,-87.477,,,635.645
MS,KMSPASCA14,Pascagoula,4 minutes,,30.378,-88.534,19,Mississippi DEQ,682.758
MS,MD2160,Gulfport,,,30.379,-89.108,,,708.476
MS,KMSGULFP40,Gulfport,4,,30.379,-89.107,39,Davis Vantage Vue (Wireless),708.429
MS,KMSOCEAN26,Ocean Springs,0,,30.381,-88.713,30,AcuRite Pro Weather Center,690.171
MS,ME3234,Diamondhead,54,,30.382,-89.355,22,,719.129
MS,MC5342,Diamondhead,,,30.382,-89.355,,,719.129
MS,KMSDIAMO4,Diamondhead,1,,30.382,-89.355,24,Davis Vantage Vue,719.129
MS,KMSGULFP34,Gulfport,1,,30.387,-89.038,75,Davis Vantage Vue (Wireless),704.388
AL,KALFOLEY17,Foley,10,,30.39,-87.71,82,other,644.159
AL,KALFAIRH35,Fairhope,29,,30.39,-87.874,0,Ambient Weather WS-1001-WiFi (Wireless),651.484
MS,KMSGULFP23,Gulfport,4,,30.39,-89.05,29,Mississippi DEQ,704.664
MS,KMSDIAMO6,Diamondhead,36,,30.394,-89.353,89,AcuRite Pro Weather Center,717.843
MS,KMSPASSC24,Pass Christian,4 minutes,,30.395,-89.241,61,Ambient Weather WS-1001-WiFi (Wireless),713.237
MS,KMSGULFP29,Gulfport,2,,30.396,-89.002,43,AcuRite Pro Weather Center,701.827
MS,KMSBILOX14,Biloxi,3,,30.397,-88.913,65,Netatmo,697.6
MS,MD2813,Ocean Springs,,,30.398,-88.805,,,692.591
MS,MC4841,Ocean Springs,,,30.402,-88.771,,,690.675
MS,MAT918,Kiln,42,,30.402,-89.45,16,,721.044
AL,KALFOLEY3,Foley,37,,30.404,-87.67,65,Davis Vantage Pro2 (Wireless),641.031
AL,KALFAIRH29,Fairhope,33,,30.407,-87.9,20,AcuRite Pro Weather Center,651.015
MS,KMSOCEAN34,Ocean Springs,14,,30.407,-88.774,23,AcuRite Pro Weather Center,690.319
AL,KALFOLEY13,Foley,0,,30.408,-87.685,81,Davis Vantage Pro2 (Wireless),641.289
AL,MUSA8,Elberta,,,30.41,-87.59,,,636.991
MS,KMSOCEAN36,Ocean Springs,15,,30.41,-88.747,21,AcuRite Pro Weather Center,688.82
MS,KMSMOSSP8,Moss Point,2,,30.41,-88.537,39,AcuRite Pro Weather Center,679.699
AL,ME2970,Elberta,12,,30.414,-87.598,78,,636.936
AL,MWKQA1,Magnolia Springs,,,30.415,-87.823,,,646.729
MS,KMSGAUTI9,Gautier,33,,30.415,-88.643,16,AcuRite Pro Weather Center,683.754
AL,MWKXA1,Magnolia Springs,38,,30.416,-87.826,22,,646.766
MS,KMSOCEAN8,Ocean Springs,3,,30.416,-88.781,25,Davis Vantage Pro2,689.749
MS,KMSOCEAN25,Ocean Springs,2,,30.418,-88.826,23,Davis Vantage Pro2 (Cabled),691.581
MS,KMSOCEAN17,Ocean Springs,1,,30.419,-88.789,30,Davis Vantage Pro2 Plus (Cabled),689.814
MS,KMSOCEAN32,Ocean Springs,1,,30.42,-88.773,23,Ambient Weather WS-1001-WiFi (Wireless),688.999
MS,KMSGAUTI10,Gautier,33,,30.42,-88.644,22,LaCrosse,683.303
MS,KMSOCEAN14,Ocean Springs,2,,30.422,-88.749,23,Davis Vantage Vue (Wireless),687.73
MS,KMSGULFP22,Gulfport,3,,30.423,-89.051,22,Ambient Weather WS-1000 (Wireless),701.527
AL,KALGRAND5,Grand Bay,1,,30.425,-88.368,56,Ambient Weather WS-900-IP (Wireless),671.176
MS,KMSBILOX21,Biloxi,,,30.431,-88.95,30,Davis Vantage Pro2 (Cabled),696.008
MS,KMSBILOX16,Biloxi,1 hour,,30.435,-88.977,32,Weatherflow,696.881
MS,KMSOCEAN18,Ocean Springs,15,20,30.436,-88.825,26,LaCrosse Weather Pro Center 2800 Series,689.777
AL,KALTURKE2,Turkey Branch,9,,30.438,-87.853,0,Netatmo,645.842
MS,MGRBM6,Pascagoula,1,,30.438,-88.426,6,,672.255
MS,MTS770,Pascagoula,,,30.438,-88.426,,,672.255
MS,KMSDIBER5,Diberville,32,,30.44,-88.903,38,AcuRite Pro Weather Center,692.956
MS,KMSDIBER4,DIberville,32,,30.442,-88.909,46,AcuRite Pro Weather Center,693.039
MS,KMSBILOX20,Biloxi,1 hour,,30.443,-88.948,56,AcuRite Pro Weather Center,694.752
AL,KALIRVIN4,Irvington,8,,30.448,-88.224,89,Ambient Weather WS-1001-WiFi (Wireless),662.499
MS,KMSOCEAN2,Ocean Springs(St Martin),14,,30.448,-88.808,32,WX-200,687.833
MS,KMSGULFP31,Gulfport,47,,30.448,-89.169,95,AcuRite Pro Weather Center,704.795
AL,MC2576,Fairhope,,,30.449,-87.869,,,645.502
AL,KALFAIRH9,Fairhope,25,,30.449,-87.829,42,Davis Vantage Pro2 Plus (Wireless),643.676
MS,KMSGULFP21,Gulfport,48,,30.45,-89.019,16,AcuRite Pro Weather Center,697.407
MS,MNNHM6,Kiln,42,30,30.451,-89.454,95,,716.324
MS,MSHCM6,Gautier,16,,30.453,-88.662,22,,680.832
AL,KALGRAND3,Grand Bay,2,,30.459,-88.335,91,Davis Vantage Pro 2,666.419
MS,KMSGAUTI4,Gautier,32,,30.46,-88.648,18,Davis Vantage Vue (Wireless),679.528
MS,KMSGAUTI7,Gautier,33,,30.462,-88.641,22,LaCrosse Weather Pro Center 2800 Series,679.024
MS,KMSBILOX13,Biloxi,1 hour,,30.469,-88.992,59,Davis Vantage Pro2 Plus (Wireless),694.298
AL,MH0494,Grand Bay,,,30.47,-88.34,,,665.517
AL,MK4R4,Fairhope,,,30.47,-87.88,,,643.963
MS,MTFBM6,Ocean Springs,,,30.47,-88.74,,,682.617
MS,MC3802,Gulfport,,,30.471,-89.189,,,703.502
AL,KALTHEOD9,Theodore,7 minutes,,30.474,-88.141,29,Alabama Department of Environmental Management,655.951
MS,KMSGULFP27,Gulfport,48,,30.477,-89.053,62,Ambient Weather WS-1001-WiFi (Wireless),696.422
MS,KMSBILOX19,Biloxi,1 hour,,30.477,-88.987,72,Ambient Weather WS-1400-IP (Wireless),693.29
MS,KMSGULFP33,Gulfport,42,,30.481,-89.14,95,Davis Vantage Pro2 (Wireless),700.23
MS,KMSGULFP28,Gulfport,44,,30.484,-89.057,95,AcuRite Pro Weather Center,695.941
MS,KMSPASSC15,Pass Christian,4 minutes,,30.485,-89.311,157,Ambient Weather WS-1000 (Wireless),706.996
MS,KMSGULFP10,Gulfport,44,,30.486,-89.115,116,Davis Vantage Pro2 (Cabled),698.54
AL,M7CBI4,Summerdale,,,30.487,-87.694,,,633.897
AL,ME0906,Summerdale,60,,30.487,-87.701,144,,634.207
AL,KALFAIRH18,Fairhope,22,,30.489,-87.871,101,Alabama Department of Environmental Management,641.7
MS,KMSMOSSP5,Moss Point,16,,30.49,-88.513,23,other,670.725
AL,MC9872,Theodore,,,30.492,-88.103,,,652.384
AL,KALFAIRH36,Fairhope,34,,30.496,-87.851,88,AcuRite Pro Weather Center,640.099
MS,KMSOCEAN28,Ocean Springs,10,,30.496,-88.86,56,AcuRite Pro Weather Center,685.528
SC,MWWXB,Georgetown,,9,30.5,-78,,,188.175
AL,MFWLA1,Theodore,,,30.501,-88.181,,,655.337
MS,KMSBILOX23,Biloxi,1 hour,,30.502,-88.969,89,AcuRite Pro Weather Center,690.027
AL,KALIRVIN7,Irvington,8,,30.507,-88.204,95,Ambient Weather WS-1200-IP (Wireless),655.903
AL,KALFAIRH34,Fairhope,32,,30.508,-87.86,31,AcuRite Pro Weather Center,639.346
MS,KMSGULFP37,Gulfport,44,,30.508,-89.08,39,Ambient Weather WS-900-IP (Wireless),694.742
AL,KALSEMIN4,Seminole,60,,30.509,-87.46,79,WS-2080,621.643
AL,MUSA3,Grand Bay,,,30.51,-88.37,,,662.736
AL,KALFAIRH28,Fairhope,25,,30.51,-87.838,95,Davis Vantage Pro2 (Cabled),638.139
AL,KALFAIRH38,Fairhope,26,,30.51,-87.916,52,AcuRite Pro Weather Center,641.751
AL,KALTHEOD11,Theodore,7 minutes,,30.515,-88.137,39,Davis Vantage Vue (Wireless),651.843
AL,KALFAIRH33,Fairhope,31,,30.515,-87.898,95,AcuRite Pro Weather Center,640.427
AL,KALFAIRH20,Fairhope,32,,30.517,-87.847,121,Ambient Weather WS-1001-WiFi (Wireless),637.871
AL,KALSEMIN3,Seminole,60,,30.518,-87.468,85,Davis Pro Vue,621.081
AL,KALFAIRH6,Fairhope,30,,30.518,-87.817,95,AcuRite Pro Weather Center,636.397
AL,MKOPA1,Summerdale,,,30.52,-87.7,,,630.92
